"Site_ID";"Dataset";"Image_size";"Site";"Image";"Field_cover";"Image_cover";"Status";"Keep_inference";"Web_source";"moran_I";"Cos_longitude";"Sin_longitude";"Longitude";"Lattitude";"Elevation";"Slope";"Aridity";"Mean_Dist";"Median_Dist";"Mean_NDVI";"SD_NDVI";"SD_NDVI_no_detrend";"Slope_NDVI";"EWS_AC_2000_2023";"EWS_SD_2000_2023";"Slope_AC_2000_2023";"Slope_SD_2000_2023";"Timescale_SPEI";"Correlation_NDVI_SPEI";"Temporal_stability_2000_2023";"Temporal_stability_2000_2023_no_detrend";"Mean_NDVI_2000_2023";"SD_NDVI_2000_2023_no_detrend";"SD_NDVI_2000_2023";"Slope_NDVI_2000_2023";"pval_Slope_AC_NDVI_2000_2023";"Resistance_month_drought";"Resistance_month_wetness";"Drought_frequency_month";"Drought_intensity_mean_month";"Drought_intensity_max_month";"Wetness_frequency";"Wetness_intensity_mean_month";"Wetness_intensity_max_month";"Wet_frequency_all";"Wet_duration_all";"Wet_intensity_mean_all";"Wet_intensity_max_all";"Wet_frequency_extreme";"Wet_duration_extreme";"Wet_intensity_mean_extreme";"Wet_intensity_max_extreme";"Drought_frequency_all";"Drought_duration_all";"Drought_intensity_mean_all";"Drought_intensity_max_all";"Drought_frequency_extreme";"Drought_duration_extreme";"Drought_intensity_mean_extreme";"Drought_intensity_max_extreme";"Recovery_drought";"Drought_duration_recovery";"Drought_intensity_mean_recovery";"Drought_intensity_max_recovery";"Recovery_wetness";"Wetness_duration_recovery";"Wetness_intensity_mean_recovery";"Wetness_intensity_max_recovery";"AC_mean";"SD_mean";"MAP_current";"MAT_current"
"1";"biocom_50_101";"biocom";"50";101;3;0.060775;0.224168981410824;"kept";"unimod";"bing";0.145450321603785;0.916096141827766;-0.400958674838545;-100.943528;23.601688;44.4409720865779;1.25276296849537;0.7894;0.0115761585776102;0.0106070045888615;NA;NA;NA;NA;-0.429397743524551;0.68659356957466;-0.000383749247969392;2.7162961121372e-05;2;0.684803692405424;18.2957537469151;4.23723880224066;0.0689793572770452;0.00377023861554084;0.0162793178521279;0.267592664248849;1.39656696876814e-36;1.22645873931626;1.75411720794433;0.254545454545455;1.19525697941963;1.90132999420166;0.269090909090909;1.02961011554884;1.7960159778595;4.58257569495584;0.788039718240221;0.544217516323792;1.64189253143362;2.7592278695768;0.497997834943236;1.10918848682537;1.83490587274234;15;0.551912256271121;0.627967382995139;1.72685516435046;5.34753955386447;0.325400619257649;1.59764648675919;1.65182558298111;0.53783171624145;1.73460105538811;-0.882561547336755;-1.58249425888062;1.09861228866811;1.00330210886378;1.02167474834079;1.7473976503719;0.385393741151833;0.0241690324507154;359;17.1
"2";"biocom_50_101";"biocom";"50";101;1;0.060775;0.273129635847502;"kept";"unimod";"bing";0.211311023391942;0.916096141827766;-0.400958674838545;-100.943528;23.601688;44.4409720865779;1.25276296849537;0.7894;0.0123946839361061;0.012596204650313;NA;NA;NA;NA;-0.429397743524551;0.68659356957466;-0.000383749247969392;2.7162961121372e-05;2;0.684803692405424;18.2957537469151;4.23723880224066;0.0689793572770452;0.00377023861554084;0.0162793178521279;0.267592664248849;1.39656696876814e-36;1.22645873931626;1.75411720794433;0.254545454545455;1.19525697941963;1.90132999420166;0.269090909090909;1.02961011554884;1.7960159778595;4.58257569495584;0.788039718240221;0.544217516323792;1.64189253143362;2.7592278695768;0.497997834943236;1.10918848682537;1.83490587274234;15;0.551912256271121;0.627967382995139;1.72685516435046;5.34753955386447;0.325400619257649;1.59764648675919;1.65182558298111;0.53783171624145;1.73460105538811;-0.882561547336755;-1.58249425888062;1.09861228866811;1.00330210886378;1.02167474834079;1.7473976503719;0.385393741151833;0.0241690324507154;359;17.1
"3";"biocom_50_101";"biocom";"50";101;2;0.060775;0.277586154268795;"kept";"unimod";"bing";0.190649146883222;0.916096141827766;-0.400958674838545;-100.943528;23.601688;44.4409720865779;1.25276296849537;0.7894;0.0115069352219794;0.0114598743442465;NA;NA;NA;NA;-0.429397743524551;0.68659356957466;-0.000383749247969392;2.7162961121372e-05;2;0.684803692405424;18.2957537469151;4.23723880224066;0.0689793572770452;0.00377023861554084;0.0162793178521279;0.267592664248849;1.39656696876814e-36;1.22645873931626;1.75411720794433;0.254545454545455;1.19525697941963;1.90132999420166;0.269090909090909;1.02961011554884;1.7960159778595;4.58257569495584;0.788039718240221;0.544217516323792;1.64189253143362;2.7592278695768;0.497997834943236;1.10918848682537;1.83490587274234;15;0.551912256271121;0.627967382995139;1.72685516435046;5.34753955386447;0.325400619257649;1.59764648675919;1.65182558298111;0.53783171624145;1.73460105538811;-0.882561547336755;-1.58249425888062;1.09861228866811;1.00330210886378;1.02167474834079;1.7473976503719;0.385393741151833;0.0241690324507154;359;17.1
"4";"biocom_50_114";"biocom";"50";114;3;0.166149425287356;0.197162042936967;"kept";"unimod";"bing";0.550929580021256;-0.973229332403313;0.229836173283934;-3.373502;33.976574;27.8567765543682;2.95751106073379;0.8004;0.00796899931326564;0.00711752031795349;NA;NA;NA;NA;-0.345558557126966;-0.51669050267493;-0.000512748024414983;-1.56357644250856e-05;23;0.838887805934328;15.2347842643512;2.79188089641978;0.0270154974160032;0.00177327732032402;0.00967645054294653;-0.246460001892153;4.94347375476734e-21;1.27394860198766;2.27645845295501;0.410909090909091;1.25714158464451;2.15641975402832;0.181818181818182;1.135882422328;1.64417219161987;2.23606797749979;3.98538896360698;0.324995906400745;1.9074334949255;0.743491774985175;2.69405464533705;1.36175313445579;2.35780734062195;8;0.821094809036689;2.01771106896864;1.78789774785962;3.2798728979856;1.52666431069886;1.81234176592393;1.94458532333374;1.75480019260307;2.80336038090653;-1.03861836865544;-1.41108268499374;1.38629436111989;2.79320800944252;1.2913841098375;1.67570618788401;0.595747098531479;0.00821163404155678;265;16
"5";"biocom_50_114";"biocom";"50";114;1;0.166149425287356;0.193559454955397;"kept";"unimod";"bing";0.526739894152004;-0.973229332403313;0.229836173283934;-3.373502;33.976574;27.8567765543682;2.95751106073379;0.8004;0.00695775055780337;0.00599504199444501;NA;NA;NA;NA;-0.345558557126966;-0.51669050267493;-0.000512748024414983;-1.56357644250856e-05;23;0.838887805934328;15.2347842643512;2.79188089641978;0.0270154974160032;0.00177327732032402;0.00967645054294653;-0.246460001892153;4.94347375476734e-21;1.27394860198766;2.27645845295501;0.410909090909091;1.25714158464451;2.15641975402832;0.181818181818182;1.135882422328;1.64417219161987;2.23606797749979;3.98538896360698;0.324995906400745;1.9074334949255;0.743491774985175;2.69405464533705;1.36175313445579;2.35780734062195;8;0.821094809036689;2.01771106896864;1.78789774785962;3.2798728979856;1.52666431069886;1.81234176592393;1.94458532333374;1.75480019260307;2.80336038090653;-1.03861836865544;-1.41108268499374;1.38629436111989;2.79320800944252;1.2913841098375;1.67570618788401;0.595747098531479;0.00821163404155678;265;16
"6";"biocom_50_114";"biocom";"50";114;2;0.166149425287356;0.211082246838545;"kept";"unimod";"bing";0.595264143007912;-0.973229332403313;0.229836173283934;-3.373502;33.976574;27.8567765543682;2.95751106073379;0.8004;0.00674069459436373;0.00627346895977698;NA;NA;NA;NA;-0.345558557126966;-0.51669050267493;-0.000512748024414983;-1.56357644250856e-05;23;0.838887805934328;15.2347842643512;2.79188089641978;0.0270154974160032;0.00177327732032402;0.00967645054294653;-0.246460001892153;4.94347375476734e-21;1.27394860198766;2.27645845295501;0.410909090909091;1.25714158464451;2.15641975402832;0.181818181818182;1.135882422328;1.64417219161987;2.23606797749979;3.98538896360698;0.324995906400745;1.9074334949255;0.743491774985175;2.69405464533705;1.36175313445579;2.35780734062195;8;0.821094809036689;2.01771106896864;1.78789774785962;3.2798728979856;1.52666431069886;1.81234176592393;1.94458532333374;1.75480019260307;2.80336038090653;-1.03861836865544;-1.41108268499374;1.38629436111989;2.79320800944252;1.2913841098375;1.67570618788401;0.595747098531479;0.00821163404155678;265;16
"7";"biocom_50_115";"biocom";"50";115;2;0.365833333333333;0.401441432696741;"kept";"unimod";"bing";0.61592975601615;-0.878889864578091;0.477024743532141;-3.638859;34.473045;29.4448637286709;1.6094379124341;0.6846;0.0142039257367577;0.010781220950732;NA;NA;NA;NA;0.02238466020446;-0.363123046771545;0.000133154490358305;-3.45066940999277e-06;21;0.716692695180365;41.8540529298698;3.09828242893885;0.0217569881260152;0.000519829899447753;0.00702227399374526;-0.259530492889157;0.00123637098366256;1.74638408094077;2.23148423637825;0.4;1.35080338066274;2.24196696281433;0.218181818181818;1.2382397154967;1.85500860214233;2;3.9071578290769;0.538765558338418;2.06156222971659;1.22865469807759;2.53400597030067;1.55917227613817;2.3753483692805;7;0.931505630784046;2.48457750788316;1.98045723191623;2.539291416276;1.66797722060207;1.88859104591867;2.1094477902288;1.89864830730607;1.94591014905531;-1.11079977618323;-1.33270382881165;1.6094379124341;2.96183072187831;1.27445099700613;1.78545737266541;0.376789757340167;0.00352126691549627;401;15.5
"8";"biocom_50_115";"biocom";"50";115;1;0.365833333333333;0.412361377369021;"kept";"unimod";"bing";0.539469750081178;-0.878889864578091;0.477024743532141;-3.638859;34.473045;29.4448637286709;1.6094379124341;0.6846;0.0503240574183365;0.0243413119684835;NA;NA;NA;NA;0.02238466020446;-0.363123046771545;0.000133154490358305;-3.45066940999277e-06;21;0.716692695180365;41.8540529298698;3.09828242893885;0.0217569881260152;0.000519829899447753;0.00702227399374526;-0.259530492889157;0.00123637098366256;1.74638408094077;2.23148423637825;0.4;1.35080338066274;2.24196696281433;0.218181818181818;1.2382397154967;1.85500860214233;2;3.9071578290769;0.538765558338418;2.06156222971659;1.22865469807759;2.53400597030067;1.55917227613817;2.3753483692805;7;0.931505630784046;2.48457750788316;1.98045723191623;2.539291416276;1.66797722060207;1.88859104591867;2.1094477902288;1.89864830730607;1.94591014905531;-1.11079977618323;-1.33270382881165;1.6094379124341;2.96183072187831;1.27445099700613;1.78545737266541;0.376789757340167;0.00352126691549627;401;15.5
"9";"biocom_50_115";"biocom";"50";115;3;0.365833333333333;0.366740275182606;"kept";"unimod";"bing";0.687399758639601;-0.878889864578091;0.477024743532141;-3.638859;34.473045;29.4448637286709;1.6094379124341;0.6846;0.0087568048338162;0.006593912691019;NA;NA;NA;NA;0.02238466020446;-0.363123046771545;0.000133154490358305;-3.45066940999277e-06;21;0.716692695180365;41.8540529298698;3.09828242893885;0.0217569881260152;0.000519829899447753;0.00702227399374526;-0.259530492889157;0.00123637098366256;1.74638408094077;2.23148423637825;0.4;1.35080338066274;2.24196696281433;0.218181818181818;1.2382397154967;1.85500860214233;2;3.9071578290769;0.538765558338418;2.06156222971659;1.22865469807759;2.53400597030067;1.55917227613817;2.3753483692805;7;0.931505630784046;2.48457750788316;1.98045723191623;2.539291416276;1.66797722060207;1.88859104591867;2.1094477902288;1.89864830730607;1.94591014905531;-1.11079977618323;-1.33270382881165;1.6094379124341;2.96183072187831;1.27445099700613;1.78545737266541;0.376789757340167;0.00352126691549627;401;15.5
"10";"biocom_50_118";"biocom";"50";118;3;0.332083333333333;0.314175391698225;"kept";"unimod";"bing";0.329037587030407;-0.881249340479043;0.472651668679221;-3.63389;33.872473;31.6385840391128;2.11021320034659;0.7655;0.0553415662686014;0.055207674125433;NA;NA;NA;NA;-0.0395465861539276;-0.237650299274326;4.37595816014536e-05;-3.41949166103143e-06;20;0.846806689714726;34.4499280324451;4.74259748511754;0.0352992012094534;0.00102465239335793;0.00744301014796715;-0.17291743122128;0.213389701019346;1.48171352981218;1.46948727565481;0.370909090909091;1.31921946020687;2.28958487510681;0.189090909090909;1.14235497266054;1.79154467582703;2.23606797749979;4.12538322823994;0.287459982603198;1.75757096048261;1.59753955386447;2.16385950320638;0.899242389794799;1.94786758314479;10;0.738794142830885;2.01190375757958;1.78492518191068;3.99120339078684;1.28972151524485;1.80561348464754;1.95148891210556;0.296119205244061;2.63905732961526;-1.31318174473692;-1.70228950182597;1.25276296849537;3.17805383034795;1.20539248549067;1.71672344207764;0.412739006003329;0.00518929374512548;307;14.9
